stage,iter,action_type,plan_id,old_pairs,new_pairs,old_points,new_points,accepted,runtime_ms,rollback,reason,matched_strategy,conflict_class,segment_idx,segment_points,pair,candidate_rank,prob_delay,prob_speed,prob_reroute,prob_delay_after,prob_speed_after,prob_reroute_after,source
greedy_time,0,delay,23,98,94,155,151,True,24.247400000604102,False,pairs_decreased,,,,,,,,,,,,,
greedy_time,0,delay,23,98,96,155,153,True,8.714399999007583,False,pairs_decreased,,,,,,,,,,,,,
greedy_time,0,delay,23,98,96,155,153,True,8.503000000928296,False,pairs_decreased,,,,,,,,,,,,,
greedy_time,0,delay,23,98,97,155,154,True,8.34979999854113,False,pairs_decreased,,,,,,,,,,,,,
greedy_time,0,delay,23,98,98,155,155,False,8.321699999214616,True,rollback,,,,,,,,,,,,,
greedy_time,0,delay,23,98,97,155,154,True,8.76100000095903,False,pairs_decreased,,,,,,,,,,,,,
greedy_time,0,delay,23,98,98,155,155,False,9.202799999911804,True,rollback,,,,,,,,,,,,,
greedy_time,0,delay,23,98,97,155,154,True,8.750199998758035,False,pairs_decreased,,,,,,,,,,,,,
greedy_time,0,delay,23,98,97,155,154,True,9.183300000586314,False,pairs_decreased,,,,,,,,,,,,,
greedy_time,0,delay,23,98,97,155,154,True,8.776900001976173,False,pairs_decreased,,,,,,,,,,,,,
greedy_time,0,delay,23,98,96,155,161,True,8.915400001569651,False,pairs_decreased,,,,,,,,,,,,,
greedy_time,0,delay,23,98,97,155,154,True,8.443400001851842,False,pairs_decreased,,,,,,,,,,,,,
greedy_time,0,speed,23,98,98,155,155,False,9.217099999659695,True,rollback,,,,,,,,,,,,,
greedy_time,0,speed,23,98,98,155,155,False,8.814799999527168,True,rollback,,,,,,,,,,,,,
greedy_time,0,speed,23,98,98,155,155,False,27.440199999546167,True,rollback,,,,,,,,,,,,,
greedy_time,0,speed,23,98,98,155,155,False,9.030299999722047,True,rollback,,,,,,,,,,,,,
greedy_time,0,speed,23,98,97,155,154,True,8.63989999925252,False,pairs_decreased,,,,,,,,,,,,,
greedy_time,0,delay,99,94,93,151,160,True,8.65920000069309,False,pairs_decreased,,,,,,,,,,,,,
greedy_time,0,delay,99,94,94,151,157,False,8.772199998929864,True,rollback,,,,,,,,,,,,,
greedy_time,0,delay,99,94,93,151,153,True,8.583399998315144,False,pairs_decreased,,,,,,,,,,,,,
greedy_time,0,delay,99,94,94,151,153,False,8.74169999951846,True,rollback,,,,,,,,,,,,,
